GeorgeWashington(1789-1797),JohnAdams(1789-1797)
JohnAdams(1797-1801),ThomasJefferson(1797-1801)
ThomasJefferson(1801-1809),AaronBurr(1801-1805)
GeorgeClinton(1805-1809),None(1805-1809)
JamesMadison(1809-1817),GeorgeClinton(1809-1817)
ElbridgeGerry(1813-1814),None(1813-1814)
JamesMonroe(1817-1825),DanielD.Tompkins(1817-1825)
JohnQuincyAdams(1825-1829),JohnC.Calhoun(1825-1829)
AndrewJackson(1829-1837),JohnC.Calhoun(1829-1832)
MartinVanBuren(1833-1837),None(1833-1837)
MartinVanBuren(1837-1841),RichardM.Johnson(1837-1841)
WilliamHenryHarrison(1841),JohnTyler(1841)
JohnTyler(1841-1845),None(1841-1845)
JamesK.Polk(1845-1849),GeorgeM.Dallas(1845-1849)
ZacharyTaylor(1849-1850),MillardFillmore(1849-1850)
MillardFillmore(1850-1853),None(1850-1853)
FranklinPierce(1853-1857),WilliamKing(1853)
JamesBuchanan(1857-1861),JohnC.Breckinridge(1857-1861)
AbrahamLincoln(1861-1865),HannibalHamlin(1861-1865)
AndrewJohnson(1865),None(1865)
AndrewJohnson(1865-1869),None(1865-1869)
UlyssesS.Grant(1869-1877),SchuylerColfax(1869-1873)
HenryWilson(1873-1875),None(1873-1875)
RutherfordB.Hayes(1877-1881),WilliamWheeler(1877-1881)
JamesA.Garfield(1881),ChesterArthur(1881)
ChesterArthur(1881-1885),None(1881-1885)
GroverCleveland(1885-1889),ThomasHendricks(1885)
BenjaminHarrison(1889-1893),LeviP.Morton(1889-1893)
GroverCleveland(1893-1897),AdlaiE.Stevenson(1893-1897)
WilliamMcKinley(1897-1901),GarretHobart(1897-1899)
TheodoreRoosevelt(1901-1909),None(1901-1905)
CharlesFairbanks(1905-1909),None(1905-1909)
WilliamHowardTaft(1909-1913),JamesS.Sherman(1909-1912)
WoodrowWilson(1913-1921),ThomasR.Marshall(1913-1921)
WarrenG.Harding(1921-1923),CalvinCoolidge(1921-1923)
CalvinCoolidge(1923-1929),None(1923-1925)
CharlesDawes(1925-1929),None(1925-1929)
HerbertHoover(1929-1933),CharlesCurtis(1929-1933)
FranklinD.Roosevelt(1933-1945),JohnNanceGarner(1933-1941)
HarrySTruman(1945-1953),None(1945-1949)
DwightD.Eisenhower(1953-1961),RichardNixon(1953-1961)
JohnF.Kennedy(1961-1963),LyndonB.Johnson(1961-1963)
LyndonB.Johnson(1963-1969),None(1963-1965)
RichardNixon(1969-1974),SpiroAgnew(1969-1973)
GeraldFord(1973-1974),None(1973)
GeraldFord(1974-1977),None(1974)
JimmyCarter(1977-1981),WalterMondale(1977-1981)
RonaldReagan(1981-1989),GeorgeBush(1981-1989)
GeorgeBush(1989-1993),DanQuayle(1989-1993)
BillClinton(1993-2001),AlGore(1993-2001)
GeorgeW.Bush(2001-2009),DickCheney(2001-2009)
BarackObama(2009-present),JoeBiden(2009-present)
